agency,code,description,unit,zone_a,zone_b,zone_c,zone_d
BWDB,04-180-00,land removing debris including},sqm,40.59,44.52,43.61,43.54
BWDB,04-280-10,l1somm x 25mm,m,103.08,108.98,108.34,108.37
BWDB,04-815-00,"sundari, garjan, shishu or equivalent]",cum,104.0,102053.43,97749.34,97749.34
BWDB,08-100-10,10.00 m to 50.00,m,2.21,2.43,2.39,2.39
BWDB,08-100-20,"9,00 m to 100.00",m,1.84,2.02,1.99,1.99
BWDB,08-100-30,9.00 m to 250.00,m,1.84,2.02,1.99,1.99
BWDB,08-100-40,"0,00 m to 750.00",m,1.72,1.89,1.86,1.86
BWDB,08-110-10,,,257.74,260.84,257.74,245.34
BWDB,08-110-20,2nd km and above,,56.28,56.28,56.28,56.28
BWDB,08-120-10,By boat : within 1.00 km,,361.68,392.67,386.47,386.47
BWDB,08-120-20,By boat : 2nd km. and above,,18.29,18.29,18.29,18.29
BWDB,08-130-10,Within 1.00 kin,,354.88,370.37,367.27,367.27
BWDB,08-130-20,2nd km and above,,13.19,13.19,13.19,13.19
BWDB,08-140-10,19.00 to 50.00,m,4.48,4.93,4.84,4.84
BWDB,08-140-20,9.00 to 100.00,m,3.93,4.32,4.24,4.24
BWDB,08-140-30,9.00 to 250.00,m,3.56,3.91,3.84,3.84
BWDB,08-140-40,9.00 to 750.00,m,3.44,3.78,3.71,3.71
BWDB,08-150-10,By cart ; Within 1.00 km. in,,489.74,520.73,514.53,514.53
BWDB,08-150-20,By cart : 2nd km and above. -,,112.43,112.43,112.43,112.43
BWDB,08-150-30,By boat : within 1.00 km,,722.91,784.88,772.48,772.48
BWDB,08-150-40,By boat : 2nd km. and above,,36.96,36.96,36.96,36.96
BWDB,08-150-50,By truck : within 1.00 km,,706.9,737.88,731.68,731.68
BWDB,08-150-60,By truck ; 2nd km. and above,,26.31,26.31,26.31,26.31
BWDB,08-180-10,19.00 to 50.00,m,5.58,6.14,6.03,6.03
BWDB,08-180-20,,m,4.97,5.47,5.37,5.37
BWDB,08-180-30,"0,00 to 250.00",m,4.48,4.93,4.84,4.84
BWDB,08-180-40,"o,00 to 750.00",m,4.36,4.79,4.7,4.7
BWDB,08-190-10,By cart : Within 1.00 km. ke,,612.25,650.97,643.23,643.23
BWDB,08-190-20,By cart : 2nd km and above. k,,140.64,140.64,140.64,140.64
BWDB,08-190-30,By boat : within 1.00km. k,,904.82,982.27,966.78,966.78
BWDB,08-190-40,By boat : 2nd km. and above. k,,45.7,45.7,45.7,45.7
BWDB,08-190-50,Ry truck ; within 1.00km. k,,884.29,923.0,915.26,915.26
BWDB,12-120-00,"furing construction, —_— providing) sot",set,440370.64,445433.85,443829.24,443874.64
BWDB,12-150-00,"necessary fuels, lubricants, operation|pphour",,1257.96,1257.2,1249.53,51.0
BWDB,16-120-70,9 ™ to 5,m,325.25,346.08,346.08,351.22
BWDB,16-120-80,compaction.,cum,341.63,369.24,363.77,363.77
BWDB,16-150-10,,cum,43.78,43.86,43.86,43.86
BWDB,16-150-20,,cum,66.17,66.29,66.29,66.29
BWDB,16-160-00,lead of,cum,31.31,34.44,33.82,33.82
BWDB,16-170-00,!-0m oF part thereof beyond the initial] jou,cum,16.2,17.82,1749.0,17.49
BWDB,16-180-00,,cum,22.09,22.09,22.09,22.09
BWDB,16-220-30,,cum,502.0,525.23,520.63,520.63
BWDB,16-220-40,,cum,103.82,103.82,103.82,103.82
BWDB,16-240-10,Embankment by Mech. Equipment; ht!,cum,200.7,203.76,203.27,203.27
BWDB,16-240-20,Embk. by Mech. Equipment; ht: 4 to!,cum,232.29,235.95,235.36,235.36
BWDB,16-240-30,Embk. by Mech. Equipment; ht: 0 to},cum,207.4,210.5,210.01,210.01
BWDB,16-240-40,Embk. by Mech. Equipment; ht: 4 to},cum,238.99,242.69,242.1,242.1
BWDB,16-250-10,300 m to 1 km and Embk. ht: 0 to4m!,cum,405.32,408.93,408.33,408.33
BWDB,16-250-20,,cum,436.91,441.11,440.42,440.42
BWDB,16-250-30,300 m to 1 km and Embk. ht: 0to4m!,cum,412.02,415.67,415.07,415.07
BWDB,16-250-40,300 m to 1 km and Embk. ht! 4m!,cum,443.6,447.86,447.16,447.16
BWDB,16-250-50,! km to 5 km and Embk. ht: 0to4m!,cum,493.45,497.05,496.45,496.45
BWDB,16-250-60,! km to 5km and Embk. ht: 4m abovel om,cum,525.03,529.24,528.54,528.54
BWDB,16-380-00,bamboo of 60mm to 80mm dia and),cum,1928.18,1943.37,1934.78,1934.78
BWDB,16-390-00,laying in position for construction of/bundle,,187.31,189.55,189.55,189.55
BWDB,16-400-00,throwing the spoils to profile with),cum,209.88,230.8,226.65,226.65
BWDB,16-410-00,disposal of spoil-soil upto 30m away|,cum,156.93,159.91,159.42,159.42
BWDB,16-415-00,Including disposal of spoil-soil upto],cum,237.51,239.4,239.17,239.17
BWDB,16-418-10,BY mechanical soil compactor! sam,sqm,25.88,26.6,26.48,26.48
BWDB,16-418-20,BY manual labour with 7.0,kg,36.55,40.08,39.39,39.39
BWDB,16-420-00,Boom ) of 30m or part thereof beyond the initial shift of,,51.79,51.92,51.92,51.92
