agency,code,description,unit,zone_a,zone_b,zone_c,zone_d
LGED,1,2,3,4.0,5.0,6.0,7.0
LGED,1.01.01,"Engineer's site office of minimum 10 sqm plinth area with providing necessary facilities including office furniture, consumables, stationeries etc.[PWD 01.1.1]",job,50308.0,50308.0,50308.0,50308.0
LGED,1.01.02,"Engineer's site office of minimum 15 sqm plinth area with providing necessary facilities including office furniture, consumables, stationeries, water purifier etc.[PWD 01.1.2]",job,80370.0,80370.0,80370.0,80370.0
LGED,1.01.03,"Engineer's site office of minimum 38 sqm plinth area with providing necessary facilities including office furniture, 24000 BTU air cooler, umbrella, crookeries, water purifier, PC with monitor, uninterruptible power supply (UPS), laserjet printer (minimum 20 ppm), LED flood light fittings(Halogen) for sight security etc. [PWD 01.1.3]",job,487130.0,487130.0,487130.0,487130.0
LGED,1.02,"Project Profile Signboard: Providing and fixing of typical project profile signboard as per direction of E-I-C, to be placed at a suitable place of the site including submission of proposals for the materials & size of the signboards (recommended size: 1800mm x 1200 mm with 2 nos. 75mm dia. MS post, outer & inner frames of board shall be 50mm x 50mm x 5mm & 25mm x 25mm x 5 mm respectively ) and text layout to the engineer for approval which will be positioned as directed by the engineer and removing the same on completeion of the works or as instructed by the E-I-C. Sheeting will be made of encapsulated lens with retro-reflective type and messages/ borders will be screen printed. The text shall mention among others the name of the project, name of the implementing agency, cost of the project, completion time, name of the contractor etc.",sqm,16872.86,16825.93,16755.53,16755.53
LGED,1.03,"Supplying and providing of first aid box with necessary materials/medicine (hygienic gown, thermometer, adhesive dressings, antiseptic solutions, bandages, cotton balls or swaps, emergency blanket, gloves, hand sanitizer, ice pack, saline etc ). All complete as per direction of Engineer-in -charge. [PWD 01.1.4.3]",each,16215.0,16215.0,16215.0,16215.0
LGED,1.04,"Hiring, installation, testing & commissioning of CCTV/Surveillance facilities for monitoring construction site including supply, fixing of 5.0 megapixel IR fixed bullet network IP camera including lens, bracket, housing with outdoor night vision facilities, full HD 1080 pixel, real time video, network video recorder (NVR) , 2 TB HDD for NVR , 4/8/16/32 port PoE switch, 32""/42"" Full HD CCTV monitor, cable & accessories, internet connection with operation & maintenance cost throughout contract completion period, re-fitting & re-fixing with progress of construction all complete as per direction of Engineer in charge. [PWD 01.1.5]",job,49081.0,49081.0,49081.0,49081.0
LGED,1.05,"Mobilization and cleaning site before commencing actual physical work and during contract period and demobilization after completion of the works under contract to be accepted by the Engineer-in- charge. This work shall also cover cleaning and clearing, cutting or filling, dressing the project area on and in the ground to an extent that all the events of works of the project can be executed smoothly in a working environment with a particular attention on safety and security in all respects, and to stockpile the end outcome to a place for disposal agreed by the Engineer-in-charge, where, payments are to be based on ground area determined by the Engineer-in-charge and be proportionate to the percentage progress of work under contract as a whole in all respects and approved by the Engineer-in- charge. [PWD 01.7]",sqm,218.0,214.0,198.0,198.0
LGED,1.06,"Providing expertised architect having minimum qualification Bachelor of Architecture and relevant experience(s) more than 5 years with registration in respective professional body for detail documentation of architectural themes, drawings, working out shop drawings, communication with theme architect & getting approval, specifying architectural needs according to approved master architectural themes & plan, certifying as built drawing for the approval etc. and any relevant jobs assigned by the HOPE or his official at site (max man month not greater than 1/4 of initial contract duration or contract completion time whichever is less & payment for the item subject to submission of CV & approved by HOPE or his authorized officer). [PWD 01.8]","per
month",80000.0,80000.0,80000.0,80000.0
LGED,1.07,"Providing expertised engineer having minimum qualification B.Sc. in Civil Engineering and relevant experience(s) more than 10 years with registration in respective professional body for project documentation, progress study & adjustment, preparation of project material schedule and testing schdule for approval etc. & jobs assigned by the HOPE or his official, at site (max man month not greater than 1/4 of initial contract duration or contract completion time whichever is less & payment for the item subject to submission of CV & approved by HOPE or his authorized officer). [PWD 01.9]","per
month",120000.0,120000.0,120000.0,120000.0
LGED,1.08,"Bench Mark Pillar: Manufacturing, supplying & fixing in position RCC (1:2:4) Bench Mark Pillars of size 150mm x 150mm x 750mm, with 400mm x 400mm x 100mm base having 3 nos. 10mm dia MS bar each way at base, 4 nos. 10mm dia vertical bar and 8 nos. 6mm dia tie, including cost of form works, concreting, reinforcement, plastering at top, inscribing on exposed surface, finishing surface, curing, earth cutting, embedding 450mm below GL., backfilling, ramming etc. complete as per direction of E-I-C.",each,1311.07,1306.53,1275.78,1275.78
LGED,1.09,"Providing 3 sets as-built drawings subject to Engineer’s approval produced in AutoCAD software in 584.5 mm x 413.5 mm (A-2 size) standard drawing paper, and operating and maintenance manual of the equipment and plant incorporated in the works, if any, in original by the date stated in the particular conditions of contract (PCC). If the contractor does not supply the as-built drawings and operating & maintenance manuals by the date stated in the particular conditions of contract (PCC), or they do not receive the Engineer-in-charge’s approval, the Engineer-in-charge shall withhold the amount stated in the PCC from the payments due to the contractor. The as-built drawings must show the permanent works as actually constructed and reflect the revision of drawings supplied to the contractor during the Contract as well as revisions of drawings supplied to the contractor during the contract. ( One set of as-built drawings shall be considered for measurement and payment) [PWD 01.2.1]","per
tender",28256.0,28256.0,28256.0,28256.0
LGED,1.10.01,Within 50 kilometer from district head quarter for full day,day,1693.3,1693.3,1693.3,1693.3
LGED,1.10.02,Beyond 50 kilometer from district head quarter for full day,day,1840.54,1840.54,1840.54,1840.54
LGED,1.10.03,Work upto 5 hours per day only,day,1100.64,1100.64,1100.64,1100.64
LGED,1.11,"Photography: Shooting of still photographs by professinal photographer at outdoor and indoor of construction and other works of building, bridges, roads etc. for recording the progress of works at any distances including hiring of vehicle, equipment for photo shooting, lightening, mixing, lettering, editing including cost of digitized media & min. 10 nos.4R images printed on photo paper etc. all complete as per direction of E-I-C.",hour,441.73,441.73,441.73,441.73
LGED,1.12,Dust suppression measures,km,2576.76,2576.76,2576.76,2576.76
LGED,1.13,"Temporary Toilet: Construction of temporary toilets in work site/ rest area complete as per design and specifications and approved by the Engineer-in-Charge. There should be 1 camp in each site. In each camp, there should be 1 no of toilet for women and 1 no of toilet for men",each,12883.78,12883.78,12883.78,12883.78
LGED,1.15,"Supplying of Best Quality Safety hand gloves for construction work of Flexible/durable/excellent puncture resistance working gloves with PVC palm and T/C drill back, pasted cuff ,palm liner . all complete in all respect as per approved specification and direction of the Engineer-in-charge.",each,306.76,306.76,306.76,306.76
LGED,1.16,"Supplying, fitting and fixing 18mm thick marble Name plate including cost of materials, labour, form work, engraving neatly the approved Sample given by the engineer etc. complete as per drawings and direction of the Engineer-in-charge.",sqm,8500.16,8494.02,8320.4,8320.4
LGED,2.01.1,"C&G (Clearing and Grubbing): The work consists of cutting, removing and disposing of all materials such as trees, bushes, shrubs, stumps, roots, grass, weeds, rubbish, and removal of topsoil and other organic material etc. all complete as per direction of Engineer in Charge.",sqm,40.05,40.04,40.01,40.01
LGED,2.02.1.1,For initial lift of 1.5 m,cum,201.0,197.0,183.0,183.0
LGED,2.02.1.2,For additional lift of 1 m beyond 1.5 m up to 2.5,cum,229.0,225.0,209.0,209.0
LGED,2.02.1.3,For additional lift of 1 m beyond 2.5 m up to 3.5 m,cum,258.0,253.0,234.0,234.0
LGED,2.02.1.4,For additional lift of 1 m beyond 3.5 m up to 4.5 m,cum,286.0,281.0,261.0,261.0
