agency,code,description,unit,zone_a,zone_b,zone_c,zone_d
PWD,01.1.1,"Engineer's site office of minimum 10 sqm plinth area with providing necessary facilities including office furniture, consumables, stationeries etc.",job,50308.0,50308.0,50308.0,50308.0
PWD,01.1.2,"Engineer's site office of minimum 15 sqm plinth area with providing necessary facilities including office furniture, consumables, stationeries, water purifier etc.",job,80370.0,80370.0,80370.0,80370.0
PWD,01.1.3,"Engineer's site office of minimum 38 sqm plinth area with providing necessary facilities including office furniture, 24000 BTU air cooler, umbrella, crookeries, water purifier,",job,487130.0,487130.0,487130.0,487130.0
PWD,01.1.4.1,"Providing necessary facilities in construction site for maintaining site safety of 30 nos construction worker including safety helmet, safety belt, apron, gumboot, goggles etc.",set,38651.0,38651.0,38651.0,38651.0
PWD,01.1.4.2,"Providing necessary facilities in construction site for maintaining site safety of 10 nos construction inspection team member including safety helmet, safety goggles, safety shoe etc.",set,10798.0,10798.0,10798.0,10798.0
PWD,01.1.4.3,"Supplying and providing of first aid box with necessary materials/medicine (hygienic gown, thermometer, adhesive dressings, antiseptic solutions, bandages, cotton balls or swaps, emergency blanket, gloves, hand sanitizer, ice pack, saline etc.) all complete as per direction of Engineer-in- charge.",each,16215.0,16215.0,16215.0,16215.0
PWD,01.1.5,"Hiring, installation, testing & commissioning of CCTV/Surveillance facilities for monitoring construction site including supply, fixing of 5.0 megapixel IR fixed bullet network IP camera including lens, bracket, housing with outdoor night vision facilities, full HD 1080 pixel, real time video, network video recorder (NVR) , 2 TB HDD for NVR , 4/8/16/32 port PoE switch, 32""/42"" Full HD CCTV monitor, cable & accessories, internet connection with operation & maintenance cost throughout contract completion period, re- fitting & re-fixing with progress of construction all complete as per direction of Engineer-in-charge.",job,49081.0,49081.0,49081.0,49081.0
PWD,01.1.6,"Providing and maintenance one project profile signboards to be placed at a suitable place of the site including submission of proposals for the materials of the signboards and text layout containing 3D picture, safety instructions, project information with security light etc. to the Engineer-in-charge for approval which will be positioned as directed by the Engineer-in-charge and removing the same on completion of the works or as instructed by the Engineer- in-charge.",sqm,3301.0,3276.0,3239.0,3239.0
PWD,01.2.1,"Providing 3 sets as-built drawings subject to Engineer’s approval produced in AutoCAD software in 584.5 mm x 413.5 mm (A-2 size) standard drawing paper, and operating and maintenance manual of the equipment and plant incorporated in the works, if any, in original by the date stated in the particular conditions of contract (PCC). If the contractor does not supply the as-built drawings and operating & maintenance manuals by the date stated in the particular conditions of contract (PCC), or they do not receive the Engineer- in-charge’s approval, the Engineer-in-charge shall","per
tender",28256.0,28256.0,28256.0,28256.0
PWD,01.2.2,Providing additional copy of as-built drawing produced in AutoCAD software in 584.5 mm x 413.5 mm (A-2) standard drawing paper accepted by the Engineer-in-charge.,sqm of,331.0,331.0,331.0,331.0
